,g,date,unnamed: 2_level_1,opp,w/l,tm,opp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,trb,ast,stl,blk,tov,pf,unnamed: 23_level_1,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,trb,ast,stl,blk,tov,pf,season,team
34,33,2023-03-04,,Sacred Heart,W,71,60,25,53,.472,8,21,.381,13,17,.765,4,26,12,14,9,6,18,,22,63,.349,5,21,.238,11,16,.688,16,41,12,4,5,17,16,2023,merrimack
35,34,2023-03-07,,FDU,W,67,66,24,58,.414,3,14,.214,16,20,.800,11,34,11,3,4,7,17,,24,58,.414,6,15,.400,12,21,.571,11,33,11,1,2,8,21,2023,merrimack
0,1,2022-11-07,,Lafayette,W,67,54,21,58,.362,10,34,.294,15,25,.600,17,43,13,9,1,9,17,,19,52,.365,10,34,.294,6,16,.375,8,32,14,4,2,14,21,2023,miami fl
1,2,2022-11-11,,UNC Greensboro,W,79,65,31,58,.534,13,27,.481,4,4,1.000,7,31,19,3,3,14,17,,24,58,.414,8,24,.333,9,13,.692,8,25,18,6,0,10,13,2023,miami fl
2,3,2022-11-15,,Florida A&M,W,87,61,35,66,.530,7,23,.304,10,14,.714,9,29,22,15,5,10,13,,26,53,.491,4,10,.400,5,9,.556,8,29,15,6,3,22,13,2023,miami fl
3,4,2022-11-19,N,Providence,W,74,64,27,63,.429,4,13,.308,16,18,.889,11,33,7,6,3,9,18,,21,50,.420,5,21,.238,17,22,.773,3,24,7,4,4,14,16,2023,miami fl
4,5,2022-11-20,N,Maryland,L,70,88,28,62,.452,5,20,.250,9,12,.750,6,16,8,6,1,10,21,,30,50,.600,9,21,.429,19,23,.826,10,37,12,3,3,17,12,2023,miami fl
5,6,2022-11-23,,St. Francis (NY),W,79,56,28,54,.519,5,15,.333,18,26,.692,8,34,15,13,6,12,8,,20,56,.357,7,19,.368,9,12,.750,8,24,9,7,3,18,14,2023,miami fl
6,7,2022-11-27,@,UCF,W,66,64,26,54,.481,6,19,.316,8,12,.667,13,25,14,8,1,15,18,,24,53,.453,4,17,.235,12,17,.706,10,27,7,8,2,15,13,2023,miami fl
7,8,2022-11-30,,Rutgers,W,68,61,26,53,.491,6,18,.333,10,12,.833,7,27,13,9,7,13,6,,25,67,.373,7,21,.333,4,4,1.000,14,34,14,9,2,15,12,2023,miami fl
8,9,2022-12-04,@,Louisville,W,80,53,32,64,.500,6,22,.273,10,11,.909,10,39,18,10,7,16,17,,17,57,.298,3,20,.150,16,18,.889,8,31,6,6,1,18,12,2023,miami fl
9,10,2022-12-07,,Cornell,W,107,105,36,65,.554,13,26,.500,22,26,.846,11,35,21,6,3,15,17,,41,79,.519,12,36,.333,11,15,.733,12,29,27,12,1,7,18,2023,miami fl
10,11,2022-12-10,,NC State,W,80,73,30,66,.455,6,19,.316,14,17,.824,8,36,22,4,0,5,11,,29,64,.453,8,24,.333,7,12,.583,7,32,16,4,5,8,18,2023,miami fl
11,12,2022-12-17,,Saint Francis (PA),W,91,76,35,66,.530,8,26,.308,13,18,.722,13,37,19,7,10,7,14,,26,61,.426,7,19,.368,17,21,.810,8,28,14,3,1,8,12,2023,miami fl
12,13,2022-12-20,,Virginia,W,66,64,21,53,.396,7,22,.318,17,22,.773,7,33,11,5,7,11,17,,22,60,.367,6,23,.261,14,19,.737,8,32,17,6,3,10,17,2023,miami fl
13,14,2022-12-28,,Vermont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,miami fl
14,15,2022-12-30,@,Notre Dame,W,76,65,29,57,.509,5,17,.294,13,20,.650,9,31,10,11,3,9,11,,25,56,.446,9,24,.375,6,7,.857,7,28,11,2,4,16,15,2023,miami fl
15,16,2023-01-04,@,Georgia Tech,L,70,76,24,68,.353,5,32,.156,17,25,.680,13,32,12,13,3,6,17,,25,61,.410,9,24,.375,17,19,.895,11,40,15,3,2,15,17,2023,miami fl
16,17,2023-01-11,,Boston College,W,88,72,32,53,.604,12,18,.667,12,15,.800,6,26,20,6,1,12,8,,32,63,.508,4,9,.444,4,7,.571,10,22,14,5,2,8,14,2023,miami fl
17,18,2023-01-14,@,NC State,L (1 OT),81,83,29,51,.569,6,15,.400,17,22,.773,3,30,5,4,6,15,17,,33,75,.440,5,20,.250,12,20,.600,14,35,14,9,5,4,16,2023,miami fl
18,19,2023-01-16,,Syracuse,W,82,78,25,60,.417,7,23,.304,25,28,.893,16,39,16,5,2,11,18,,29,67,.433,6,20,.300,14,17,.824,13,31,19,8,0,9,19,2023,miami fl
19,20,2023-01-21,@,Duke,L,66,68,22,63,.349,10,21,.476,12,15,.800,13,38,10,7,5,6,17,,25,62,.403,9,21,.429,9,15,.600,14,41,19,5,8,10,15,2023,miami fl
20,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2023,miami fl
21,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2023,miami fl
22,21,2023-01-24,@,Florida State,W,86,63,31,55,.564,11,22,.500,13,19,.684,8,36,23,5,1,17,13,,26,63,.413,3,22,.136,8,13,.615,8,23,12,11,6,10,13,2023,miami fl
23,22,2023-01-28,@,Pitt,L,68,71,26,53,.491,8,17,.471,8,11,.727,0,29,14,4,4,12,15,,26,65,.400,9,22,.409,10,12,.833,10,36,12,5,7,11,11,2023,miami fl
24,23,2023-01-31,,Virginia Tech,W,92,83,35,60,.583,8,19,.421,14,17,.824,6,26,18,10,3,11,16,,29,51,.569,7,17,.412,18,20,.900,2,21,14,7,3,14,15,2023,miami fl
25,24,2023-02-04,@,Clemson,W,78,74,26,58,.448,9,24,.375,17,22,.773,7,34,12,5,1,11,13,,28,59,.475,10,25,.400,8,9,.889,2,26,17,3,4,9,16,2023,miami fl
26,25,2023-02-06,,Duke,W,81,59,32,67,.478,7,17,.412,10,11,.909,11,31,21,13,4,11,11,,22,54,.407,5,19,.263,10,13,.769,11,29,16,7,6,21,10,2023,miami fl
27,26,2023-02-11,,Louisville,W,93,85,31,58,.534,8,20,.400,23,27,.852,11,28,20,5,2,6,14,,33,57,.579,10,23,.435,9,11,.818,6,20,12,3,1,11,23,2023,miami fl
28,27,2023-02-13,@,UNC,W,80,72,26,56,.464,6,13,.462,22,26,.846,6,35,9,5,0,13,15,,29,66,.439,5,31,.161,9,15,.600,9,30,6,7,5,9,21,2023,miami fl
29,28,2023-02-18,,Wake Forest,W,96,87,37,63,.587,8,16,.500,14,18,.778,6,25,16,12,0,10,9,,32,58,.552,15,35,.429,8,8,1.000,4,25,22,5,2,18,16,2023,miami fl
30,29,2023-02-21,@,Virginia Tech,W,76,70,27,64,.422,7,22,.318,15,19,.789,14,38,10,8,3,10,11,,28,60,.467,9,27,.333,5,7,.714,7,28,17,6,2,12,14,2023,miami fl
31,30,2023-02-25,,Florida State,L,84,85,34,64,.531,8,19,.421,8,11,.727,6,29,18,7,2,12,12,,33,63,.524,7,20,.350,12,14,.857,5,29,18,10,6,10,12,2023,miami fl
32,31,2023-03-04,,Pitt,W,78,76,25,55,.455,8,17,.471,20,23,.870,13,39,14,0,4,16,15,,27,58,.466,11,26,.423,11,15,.733,2,17,14,8,3,6,17,2023,miami fl
33,32,2023-03-09,N,Wake Forest,W,74,72,31,59,.525,6,19,.316,6,11,.545,8,36,15,6,5,12,17,,27,66,.409,11,31,.355,7,14,.500,11,32,15,5,6,9,14,2023,miami fl
34,33,2023-03-10,N,Duke,L,78,85,29,62,.468,8,26,.308,12,15,.800,5,21,13,8,2,5,18,,28,51,.549,8,16,.500,21,25,.840,7,33,16,4,3,12,13,2023,miami fl
35,34,2023-03-17,N,Drake,W,63,56,17,56,.304,6,18,.333,23,29,.793,6,37,6,7,1,8,11,,22,55,.400,7,24,.292,5,8,.625,2,33,15,4,3,10,19,2023,miami fl
36,35,2023-03-19,N,Indiana,W,85,69,34,70,.486,9,23,.391,8,13,.615,19,45,14,7,3,12,13,,26,63,.413,8,25,.320,9,14,.643,11,29,10,9,7,12,14,2023,miami fl
37,36,2023-03-24,N,Houston,W,89,75,31,60,.517,11,25,.440,16,19,.842,6,34,16,4,4,5,16,,24,64,.375,9,31,.290,18,20,.900,9,33,16,3,4,8,16,2023,miami fl
38,37,2023-03-26,N,Texas,W,88,81,29,49,.592,2,8,.250,28,32,.875,4,23,11,9,1,12,14,,30,60,.500,10,25,.400,11,15,.733,9,23,20,6,1,13,23,2023,miami fl
39,38,2023-04-01,N,UConn,L,59,72,20,62,.323,7,20,.350,12,12,1.000,12,29,10,8,1,9,12,,28,57,.491,9,26,.346,7,13,.538,13,40,19,5,5,14,11,2023,miami fl
0,1,2022-11-07,,Evansville,L,74,78,26,60,.433,6,23,.261,16,20,.800,7,27,11,7,1,13,16,,28,60,.467,7,23,.304,15,20,.750,8,33,9,5,2,12,17,2023,miami oh
1,2,2022-11-12,,Goshen,W,87,44,32,70,.457,8,24,.333,15,19,.789,14,45,17,18,8,11,6,,18,55,.327,8,28,.286,0,2,.000,5,28,10,8,2,26,16,2023,miami oh
2,3,2022-11-14,@,Georgia,L,70,77,25,57,.439,8,22,.364,12,12,1.000,6,23,10,9,3,15,23,,23,58,.397,7,23,.304,24,30,.800,18,41,11,8,2,17,13,2023,miami oh
3,4,2022-11-17,,Marshall,L,69,95,20,65,.308,6,32,.188,23,28,.821,10,33,10,5,2,17,17,,37,66,.561,13,26,.500,8,17,.471,9,42,22,12,7,19,25,2023,miami oh
4,5,2022-11-20,N,Indiana,L,56,86,22,68,.324,10,34,.294,2,5,.400,12,31,10,5,4,12,19,,31,63,.492,7,21,.333,17,24,.708,12,42,15,8,7,9,14,2023,miami oh
5,6,2022-11-26,,Little Rock,W,80,67,24,48,.500,14,33,.424,18,20,.900,7,28,22,5,4,12,15,,25,54,.463,6,22,.273,11,14,.786,8,25,16,10,0,9,16,2023,miami oh
6,7,2022-11-29,,Jackson State,W,95,78,33,55,.600,14,28,.500,15,17,.882,4,19,23,4,2,7,17,,29,61,.475,10,18,.556,10,15,.667,15,33,18,3,2,14,19,2023,miami oh
7,8,2022-12-03,,Indiana State,L,61,88,19,56,.339,3,19,.158,20,25,.800,6,31,4,7,4,15,18,,30,61,.492,16,34,.471,12,15,.800,5,37,24,10,0,13,23,2023,miami oh
8,9,2022-12-11,,Calumet College,W,85,49,33,68,.485,16,27,.593,3,4,.750,11,41,23,10,4,15,16,,18,52,.346,4,18,.222,9,14,.643,6,26,7,8,6,17,10,2023,miami oh
9,10,2022-12-14,@,Cincinnati,L,76,103,25,52,.481,7,21,.333,19,21,.905,10,24,17,2,3,15,16,,38,60,.633,12,20,.600,15,17,.882,8,23,23,11,3,9,19,2023,miami oh
10,11,2022-12-17,@,Bellarmine,W,71,67,19,46,.413,10,25,.400,23,29,.793,8,23,12,4,1,15,18,,23,41,.561,7,20,.350,14,14,1.000,2,23,12,10,3,18,25,2023,miami oh
11,12,2022-12-22,,Wright State,L,80,88,30,61,.492,13,31,.419,7,8,.875,7,28,16,7,5,16,15,,34,62,.548,7,13,.538,13,15,.867,8,30,21,7,2,12,13,2023,miami oh
12,13,2022-12-29,,Saint Mary-of-the-Woods College,W,90,51,33,60,.550,7,20,.350,17,26,.654,10,37,13,15,6,15,17,,16,48,.333,5,19,.263,14,22,.636,8,30,8,9,3,24,20,2023,miami oh
13,14,2023-01-03,@,Central Michigan,L,56,68,20,59,.339,5,26,.192,11,17,.647,11,31,9,5,2,14,24,,20,56,.357,4,24,.167,24,32,.750,17,44,5,8,2,15,19,2023,miami oh
14,15,2023-01-07,,Kent State,L,66,69,23,54,.426,8,22,.364,12,14,.857,7,32,14,8,3,19,18,,25,58,.431,5,17,.294,14,20,.700,10,31,10,10,5,12,13,2023,miami oh
15,16,2023-01-10,,Buffalo,W,91,80,31,60,.517,11,27,.407,18,21,.857,10,31,16,5,2,20,26,,27,58,.466,3,17,.176,23,38,.605,11,30,10,13,2,17,19,2023,miami oh
16,17,2023-01-14,@,Ball State,L,61,75,26,61,.426,1,13,.077,8,15,.533,5,32,7,2,3,9,20,,26,59,.441,7,20,.350,16,25,.640,9,40,15,5,4,7,16,2023,miami oh
17,18,2023-01-17,,Northern Illinois,L,77,81,28,57,.491,6,20,.300,15,18,.833,6,27,17,6,2,13,18,,29,55,.527,7,17,.412,16,26,.615,9,30,10,11,1,11,16,2023,miami oh
18,19,2023-01-21,@,Bowling Green State,L,73,83,30,61,.492,3,17,.176,10,16,.625,9,24,12,6,1,12,21,,27,48,.563,7,16,.438,22,24,.917,6,30,11,6,6,18,23,2023,miami oh
19,20,2023-01-24,@,Akron,L,68,73,24,46,.522,6,17,.353,14,20,.700,6,22,10,4,0,9,22,,23,53,.434,12,32,.375,15,17,.882,10,28,14,1,3,9,20,2023,miami oh
20,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2023,miami oh
21,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2023,miami oh
22,21,2023-01-28,,Eastern Michigan,L,69,74,24,55,.436,10,28,.357,11,16,.688,9,33,15,7,1,18,17,,26,57,.456,4,24,.167,18,21,.857,7,30,12,11,2,11,15,2023,miami oh
23,22,2023-01-31,,Toledo,L,78,81,31,58,.534,10,24,.417,6,11,.545,9,32,14,3,2,11,18,,33,64,.516,9,22,.409,6,10,.600,7,26,14,8,2,8,14,2023,miami oh
24,23,2023-02-04,@,Ohio,L,68,78,22,55,.400,6,23,.261,18,25,.720,8,28,9,4,2,9,17,,26,58,.448,4,18,.222,22,25,.880,9,34,8,5,2,7,19,2023,miami oh
25,24,2023-02-07,,Western Michigan,W,85,78,26,56,.464,7,23,.304,26,29,.897,9,29,18,4,3,7,15,,31,62,.500,9,21,.429,7,12,.583,11,32,13,3,2,10,22,2023,miami oh
26,25,2023-02-11,,Central Michigan,L,60,66,20,47,.426,6,23,.261,14,20,.700,3,20,10,7,3,8,28,,20,47,.426,4,10,.400,22,35,.629,14,39,10,4,2,11,20,2023,miami oh
27,26,2023-02-14,@,Toledo,L,71,89,30,61,.492,6,21,.286,5,6,.833,6,26,21,2,3,9,28,,26,52,.500,7,18,.389,30,36,.833,10,27,12,4,4,5,15,2023,miami oh
28,27,2023-02-18,@,Northern Illinois,W (1 OT),66,65,24,56,.429,7,16,.438,11,14,.786,5,28,16,8,1,16,13,,26,60,.433,6,19,.316,7,13,.538,6,30,17,9,1,17,14,2023,miami oh
29,28,2023-02-21,,Bowling Green State,W,74,65,26,56,.464,7,22,.318,15,18,.833,9,30,17,5,1,16,19,,23,54,.426,5,20,.250,14,22,.636,8,28,10,10,1,15,17,2023,miami oh
30,29,2023-02-25,,Ohio,W,85,68,31,51,.608,10,19,.526,13,16,.813,4,31,14,3,5,19,16,,24,63,.381,7,20,.350,13,21,.619,12,23,9,10,5,10,18,2023,miami oh
31,30,2023-02-28,@,Western Michigan,W,77,62,25,50,.500,8,20,.400,19,23,.826,6,30,14,8,5,9,17,,23,60,.383,6,25,.240,10,14,.714,14,33,12,6,1,11,19,2023,miami oh
32,31,2023-03-03,@,Buffalo,L,63,68,24,51,.471,5,16,.313,10,13,.769,1,20,12,5,4,10,16,,23,59,.390,6,18,.333,16,19,.842,12,37,12,7,2,9,13,2023,miami oh
33,32,2023-03-09,N,Toledo,L,75,91,24,57,.421,6,20,.300,21,22,.955,11,27,7,5,4,12,17,,32,55,.582,8,21,.381,19,26,.731,7,27,18,7,4,10,15,2023,miami oh
0,1,2022-11-07,,Purdue Fort Wayne,W,75,56,30,64,.469,9,29,.310,6,9,.667,4,36,17,7,8,8,12,,21,71,.296,9,38,.237,5,7,.714,11,38,11,2,2,14,14,2023,michigan
1,2,2022-11-11,N,Eastern Michigan,W,88,83,29,60,.483,5,21,.238,25,40,.625,9,38,15,8,5,11,21,,29,64,.453,5,15,.333,20,27,.741,4,29,9,7,2,11,28,2023,michigan
2,3,2022-11-16,N,Pitt,W,91,60,35,60,.583,9,20,.450,12,18,.667,6,33,21,5,3,6,16,,21,50,.420,6,20,.300,12,20,.600,6,28,11,4,3,13,15,2023,michigan
3,4,2022-11-17,N,Arizona State,L,62,87,21,62,.339,4,22,.182,16,24,.667,13,30,10,6,0,8,13,,32,53,.604,11,19,.579,12,14,.857,5,31,11,6,6,12,19,2023,michigan
4,5,2022-11-20,,Ohio,W (1 OT),70,66,24,63,.381,10,32,.313,12,20,.600,11,42,12,3,7,11,10,,27,77,.351,7,28,.250,5,11,.455,14,42,14,6,2,6,19,2023,michigan
5,6,2022-11-23,,Jackson State,W,78,68,25,59,.424,12,30,.400,16,19,.842,6,38,12,3,13,11,10,,27,73,.370,8,29,.276,6,7,.857,11,38,16,8,2,9,17,2023,michigan
6,7,2022-11-29,,Virginia,L,68,70,26,49,.531,8,19,.421,8,10,.800,5,28,10,3,9,12,16,,27,53,.509,4,8,.500,12,19,.632,4,23,12,7,0,7,15,2023,michigan
7,8,2022-12-04,N,Kentucky,L,69,73,25,64,.391,8,20,.400,11,17,.647,5,29,12,5,4,7,19,,27,58,.466,9,15,.600,10,20,.500,10,42,17,3,3,14,14,2023,michigan
8,9,2022-12-08,@,Minnesota,W,90,75,33,63,.524,10,18,.556,14,22,.636,7,31,18,11,5,9,19,,27,55,.491,6,15,.400,15,24,.625,8,33,17,5,5,16,17,2023,michigan
9,10,2022-12-17,,Lipscomb,W,83,75,31,62,.500,7,19,.368,14,23,.609,11,36,9,4,1,10,10,,28,67,.418,9,30,.300,10,11,.909,10,33,14,4,1,12,17,2023,michigan
10,11,2022-12-21,N,UNC,L,76,80,26,62,.419,9,23,.391,15,21,.714,9,37,9,6,5,10,22,,29,58,.500,7,20,.350,15,27,.556,7,39,13,6,1,11,19,2023,michigan
11,12,2022-12-29,,Central Michigan,L,61,63,20,57,.351,6,22,.273,15,21,.714,11,29,10,5,2,9,14,,26,64,.406,6,29,.207,5,6,.833,14,40,6,3,4,13,20,2023,michigan
12,13,2023-01-01,,Maryland,W,81,46,28,56,.500,3,11,.273,22,29,.759,8,44,15,6,4,13,11,,18,68,.265,5,25,.200,5,9,.556,9,30,7,6,3,12,24,2023,michigan
13,14,2023-01-04,,Penn State,W,79,69,27,58,.466,8,19,.421,17,25,.680,6,35,11,4,2,3,16,,26,58,.448,9,28,.321,8,11,.727,4,29,6,2,2,7,20,2023,michigan
14,15,2023-01-07,@,Michigan State,L,53,59,19,55,.345,3,20,.150,12,16,.750,3,29,8,5,4,9,18,,21,56,.375,6,19,.316,11,13,.846,6,35,12,2,1,10,19,2023,michigan
15,16,2023-01-12,@,Iowa,L (1 OT),84,93,33,67,.493,14,31,.452,4,6,.667,9,34,18,4,5,11,18,,32,71,.451,12,30,.400,17,22,.773,11,37,18,4,6,6,13,2023,michigan
16,17,2023-01-15,,Northwestern,W,85,78,29,56,.518,10,22,.455,17,24,.708,10,38,18,5,4,18,17,,27,64,.422,6,23,.261,18,24,.750,9,29,13,11,2,8,19,2023,michigan
17,18,2023-01-19,@,Maryland,L,58,64,23,55,.418,8,28,.286,4,8,.500,12,33,10,2,5,12,18,,24,58,.414,3,15,.200,13,17,.765,14,32,7,7,2,6,12,2023,michigan
18,19,2023-01-22,,Minnesota,W,60,56,22,60,.367,2,14,.143,14,18,.778,6,32,8,7,3,10,14,,23,57,.404,6,23,.261,4,7,.571,5,33,11,3,3,14,18,2023,michigan
19,20,2023-01-26,,Purdue,L,70,75,26,59,.441,9,25,.360,9,14,.643,6,23,9,5,3,6,17,,27,50,.540,5,12,.417,16,20,.800,6,32,7,3,3,12,16,2023,michigan
20,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2023,michigan
21,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2023,michigan
22,21,2023-01-29,@,Penn State,L,61,83,25,59,.424,6,22,.273,5,8,.625,6,26,14,4,3,8,8,,31,57,.544,13,30,.433,8,10,.800,6,34,20,7,1,9,9,2023,michigan
23,22,2023-02-02,@,Northwestern,W,68,51,24,58,.414,7,20,.350,13,16,.813,11,38,21,6,3,7,14,,21,56,.375,3,19,.158,6,10,.600,8,28,14,5,5,8,14,2023,michigan
24,23,2023-02-05,,Ohio State,W,77,69,28,57,.491,8,23,.348,13,18,.722,6,33,11,2,3,8,13,,26,64,.406,5,16,.313,12,17,.706,11,33,6,4,2,6,16,2023,michigan
25,24,2023-02-08,,Nebraska,W,93,72,34,59,.576,14,26,.538,11,13,.846,5,31,16,1,5,13,19,,28,58,.483,7,20,.350,9,17,.529,4,22,15,4,1,8,13,2023,michigan
26,25,2023-02-11,,Indiana,L,61,62,23,54,.426,5,20,.250,10,13,.769,4,29,8,7,6,11,16,,23,53,.434,2,6,.333,14,18,.778,4,27,12,3,4,13,16,2023,michigan
27,26,2023-02-14,@,Wisconsin,L,59,64,24,57,.421,5,16,.313,6,10,.600,8,37,7,2,5,11,15,,22,66,.333,6,18,.333,14,18,.778,14,36,10,3,0,4,14,2023,michigan
28,27,2023-02-18,,Michigan State,W,84,72,29,59,.492,9,26,.346,17,21,.810,13,37,9,3,5,9,15,,28,59,.475,7,19,.368,9,10,.900,4,22,13,2,1,8,20,2023,michigan
29,28,2023-02-23,@,Rutgers,W,58,45,22,54,.407,7,25,.280,7,11,.636,8,34,11,11,5,9,11,,18,47,.383,4,13,.308,5,16,.313,4,29,11,7,2,13,13,2023,michigan
30,29,2023-02-26,,Wisconsin,W (1 OT),87,79,29,59,.492,7,21,.333,22,26,.846,5,35,7,4,6,12,17,,30,70,.429,8,23,.348,11,12,.917,6,29,10,5,4,8,19,2023,michigan
31,30,2023-03-02,@,Illinois,L (2 OT),87,91,31,70,.443,8,21,.381,17,24,.708,9,45,8,1,7,12,25,,30,72,.417,5,18,.278,26,34,.765,12,43,9,9,4,7,19,2023,michigan
32,31,2023-03-05,@,Indiana,L (1 OT),73,75,26,63,.413,9,26,.346,12,19,.632,12,41,11,5,6,12,18,,28,62,.452,5,15,.333,14,21,.667,6,33,11,10,4,8,19,2023,michigan
33,32,2023-03-09,N,Rutgers,L,50,62,16,46,.348,6,18,.333,12,17,.706,4,27,15,4,5,13,15,,24,61,.393,5,18,.278,9,12,.750,11,34,15,10,3,6,18,2023,michigan
34,33,2023-03-14,,Toledo,W,90,80,32,55,.582,13,23,.565,13,16,.813,6,36,18,1,4,13,15,,32,73,.438,8,24,.333,8,13,.615,10,26,13,6,3,4,14,2023,michigan
35,34,2023-03-18,@,Vanderbilt,L,65,66,23,53,.434,3,12,.250,16,19,.842,9,36,6,3,2,13,15,,25,58,.431,6,23,.261,10,12,.833,3,22,9,6,2,7,20,2023,michigan
0,1,2022-11-07,,Northern Arizona,W,73,55,29,65,.446,9,27,.333,6,8,.750,10,42,17,6,6,9,16,,19,60,.317,8,30,.267,9,13,.692,7,32,13,5,2,11,13,2023,michigan state
1,2,2022-11-11,N,Gonzaga,L,63,64,21,52,.404,3,16,.188,18,28,.643,6,28,11,9,1,15,22,,23,55,.418,4,18,.222,14,22,.636,9,37,8,11,7,18,22,2023,michigan state
2,3,2022-11-15,N,Kentucky,W (2 OT),86,77,28,69,.406,7,19,.368,23,27,.852,12,40,19,6,3,18,19,,27,70,.386,7,25,.280,16,24,.667,10,35,17,12,8,15,25,2023,michigan state
3,4,2022-11-18,,Villanova,W,73,71,28,54,.519,13,25,.520,4,6,.667,5,29,22,4,1,12,16,,24,53,.453,8,29,.276,15,19,.789,4,24,15,7,0,6,10,2023,michigan state
4,5,2022-11-24,N,Alabama,L,70,81,24,62,.387,4,14,.286,18,25,.720,10,36,9,5,5,11,22,,28,63,.444,8,23,.348,17,24,.708,11,40,19,6,5,10,20,2023,michigan state
5,6,2022-11-26,N,Oregon,W,74,70,27,61,.443,9,29,.310,11,12,.917,10,32,20,2,1,7,12,,27,63,.429,10,32,.313,6,8,.750,10,32,13,4,2,10,17,2023,michigan state
6,7,2022-11-27,@,Portland,W,78,77,31,59,.525,8,14,.571,8,11,.727,9,27,17,1,3,8,14,,26,61,.426,13,29,.448,12,12,1.000,7,23,17,4,3,5,13,2023,michigan state
7,8,2022-11-30,@,Notre Dame,L,52,70,21,54,.389,4,12,.333,6,6,1.000,2,28,8,4,2,7,12,,27,54,.500,11,26,.423,5,8,.625,3,28,13,2,3,6,12,2023,michigan state
8,9,2022-12-04,,Northwestern,L,63,70,23,55,.418,8,22,.364,9,12,.750,6,27,16,7,4,13,17,,21,49,.429,7,23,.304,21,24,.875,5,30,8,10,5,11,15,2023,michigan state
9,10,2022-12-07,@,Penn State,W,67,58,26,60,.433,6,14,.429,9,11,.818,4,38,13,2,3,8,14,,19,55,.345,8,27,.296,12,18,.667,5,33,11,4,4,9,15,2023,michigan state
10,11,2022-12-10,,Brown,W,68,50,27,64,.422,8,22,.364,6,6,1.000,10,37,21,6,4,6,14,,20,60,.333,4,20,.200,6,10,.600,11,34,16,4,3,7,11,2023,michigan state
11,12,2022-12-21,,Oakland,W,67,54,25,51,.490,10,22,.455,7,16,.438,8,39,19,5,6,14,16,,20,63,.317,7,25,.280,7,11,.636,9,27,10,7,3,7,18,2023,michigan state
12,13,2022-12-30,,Buffalo,W,89,68,30,59,.508,8,19,.421,21,30,.700,7,35,21,6,3,10,13,,28,66,.424,5,16,.313,7,10,.700,9,32,11,4,7,14,23,2023,michigan state
13,14,2023-01-03,,Nebraska,W,74,56,31,65,.477,8,25,.320,4,6,.667,11,40,24,7,4,9,17,,23,55,.418,2,16,.125,8,20,.400,7,27,10,5,3,9,14,2023,michigan state
14,15,2023-01-07,,Michigan,W,59,53,21,56,.375,6,19,.316,11,13,.846,6,35,12,2,1,10,19,,19,55,.345,3,20,.150,12,16,.750,3,29,8,5,4,9,18,2023,michigan state
15,16,2023-01-10,@,Wisconsin,W,69,65,23,44,.523,7,13,.538,16,17,.941,3,32,10,3,3,13,12,,25,55,.455,9,23,.391,6,8,.750,3,18,9,6,1,5,18,2023,michigan state
16,17,2023-01-13,@,Illinois,L,66,75,28,65,.431,0,7,.000,10,13,.769,12,39,4,2,2,9,17,,27,60,.450,6,18,.333,15,18,.833,8,29,11,4,10,5,10,2023,michigan state
17,18,2023-01-16,,Purdue,L,63,64,25,53,.472,6,19,.316,7,10,.700,8,30,12,3,0,11,19,,22,52,.423,4,10,.400,16,18,.889,8,29,17,6,2,9,16,2023,michigan state
18,19,2023-01-19,,Rutgers,W,70,57,26,55,.473,12,22,.545,6,7,.857,6,34,19,9,6,9,17,,22,64,.344,2,17,.118,11,15,.733,15,37,14,8,1,11,12,2023,michigan state
19,20,2023-01-22,@,Indiana,L,69,82,23,53,.434,4,14,.286,19,28,.679,6,26,6,5,1,9,20,,26,55,.473,9,15,.600,21,24,.875,8,31,13,4,6,9,21,2023,michigan state
